CustomerID,Age,Gender,City,ProductCategory,PurchaseAmount,PaymentMethod,PurchaseDate,Quantity
4f2ead92-86f3-4122-8f1e-6d6433214112,37,Other,Surat,Groceries,19938.02,Cash,2025-07-31,1
89603a92-a0b9-445a-94b6-ca76fc392fc9,43,Male,Bengaluru,Furniture,3936.98,Debit Card,2025-09-08,4
27ea3b7b-e8f7-4db2-b662-124193d9e4f4,32,Male,Delhi,Home Appliances,20345.48,UPI,2025-07-10,9
750ae32b-7869-48a3-95d8-5a1bdad2309f,34,Other,Kolkata,Groceries,17919.97,UPI,2025-02-24,8
05d25680-2678-463d-a61d-b41173fa0b8a,30,Other,Delhi,Furniture,6681.39,UPI,2025-09-30,1
dea98aa5-ac6d-4283-9ec6-55330f1deedc,27,Other,Surat,Home Appliances,42074.98,UPI,2024-03-21,8
3e99dbc1-8780-4840-b7ef-214dfac27273,53,Female,Kolkata,Furniture,1295.95,UPI,2024-07-15,7
b640f69a-24ee-4a6f-8309-9fb524729bef,20,Male,Surat,Furniture,22654.05,UPI,2024-10-15,3
ba42fcbd-cbf7-41f0-8691-63cc59eb6ac0,43,Female,Surat,Books,11848.5,Credit Card,2025-05-26,8
97ba6809-e5cd-4538-9f93-703e1ab55b02,63,Female,Delhi,Electronics,19387.83,UPI,2025-04-23,8
aa187be1-4792-46bd-a69c-2964e93f4476,37,Female,Bengaluru,Furniture,3595.14,Debit Card,2024-07-05,5
2e259b5d-8483-4f33-a802-ab0025d22daf,55,Other,Hyderabad,Electronics,21917.59,Credit Card,2025-04-06,2
f0d9f0bc-32bd-43ba-906b-cae4c920a95d,19,Male,Pune,Furniture,9761.66,UPI,2024-06-04,2
6b5f8830-bce6-497b-a601-13b9e8db6870,28,Male,Surat,Electronics,28949.1,Cash,2025-10-07,1
33ffa33d-6fa6-47df-bd54-5d4cc77fb38a,20,Female,Mumbai,Books,32012.57,Debit Card,2024-06-09,2
e951a40a-157b-42f4-9f85-1b628759035d,36,Other,Surat,Groceries,14427.55,UPI,2024-10-23,3
67243821-ff41-46a0-9b63-fe983ae9c9c9,51,Female,Delhi,Sports,35189.64,Net Banking,2024-02-17,5
e71cd770-afb6-4569-8b74-84666cc9a2f1,41,Female,Bengaluru,Clothing,46156.56,Net Banking,2025-10-01,7
816b26da-ce60-4c1b-92b8-f61d42651652,44,Female,Surat,Furniture,30115.94,UPI,2025-10-19,7
023254cd-268a-461b-9a25-843b0ea51bc1,28,Other,Mumbai,Beauty,30897.51,UPI,2025-06-20,1
c6917207-567a-49c1-9327-fc3241e6b278,21,Female,Mumbai,Sports,48894.62,Cash,2024-02-02,8
c9ce3311-df8f-4749-8100-2a1f7a909c25,50,Other,Kolkata,Clothing,24072.47,Debit Card,2024-08-14,9
80595e3a-b7d3-4f48-acde-8bb3db217758,35,Other,Mumbai,Sports,46656.65,Net Banking,2025-03-16,9
fbb6099b-92a4-401d-9fc9-be629bd2c387,37,Male,Surat,Automobile,8012.52,Net Banking,2025-03-01,8
f16553a6-9f9a-4b53-b36f-92ed39f5b9f1,62,Female,Bengaluru,Beauty,9249.19,Debit Card,2025-08-18,5
1123b273-9ca0-41b8-985e-04bb6ab45737,33,Male,Delhi,Automobile,5097.35,UPI,2024-09-20,5
564e3e42-16f3-44b1-8df2-71dd40a6a12e,45,Other,Bengaluru,Sports,38066.38,Credit Card,2023-12-05,5
e5c7a694-dcf2-43d8-984a-b192772d2110,19,Other,Hyderabad,Furniture,43966.49,UPI,2025-09-27,7
7d851e1a-42d1-48ea-9d09-7a1df19bc1f2,60,Female,Pune,Books,16161.33,Credit Card,2025-10-05,1
ba282d91-e613-405d-92ba-03687949e8c4,44,Female,Chennai,Toys,36337.12,Cash,2023-11-18,4
c3b664eb-249e-450a-b8be-a9429d40ac4c,54,Female,Delhi,Books,12656.2,Credit Card,2025-01-07,2
4fd23e59-6cd4-406a-a177-f279624bccaf,26,Male,Pune,Sports,26124.16,Credit Card,2024-10-08,8
50d2543b-c8b0-44d3-ba70-1d9404e882c1,51,Other,Hyderabad,Clothing,31081.51,Cash,2025-10-08,8
f77f8c68-2239-4f7b-8ef7-64f05695947b,40,Male,Delhi,Beauty,15999.91,Credit Card,2025-08-17,8
9f5bd8e1-e2fb-436e-b9c2-c2c3283fcc54,39,Other,Mumbai,Clothing,33225.28,Net Banking,2024-06-11,4
b30c0c19-ed8c-4e76-a9f3-de350f2745f3,48,Female,Kolkata,Electronics,45215.81,UPI,2024-11-16,7
bc8886ff-ad17-4abc-9dff-059ba369af70,51,Other,Hyderabad,Toys,26691.18,Credit Card,2023-11-22,7
298a56b9-6dce-470a-83d0-47d988bc4f23,46,Male,Pune,Sports,42562.93,Net Banking,2025-09-02,7
f3a0aacd-8ee8-46e1-8efa-8e69823cb501,40,Other,Mumbai,Groceries,38458.03,UPI,2025-06-27,4
5ea53daa-53a3-4910-b3d7-7501b98c1f57,26,Female,Kolkata,Home Appliances,40761.71,Net Banking,2024-09-17,1
dfe30b16-f9f6-4a59-83cf-6c24f33fa606,60,Other,Pune,Groceries,47536.08,Credit Card,2025-06-06,4
bc8956f9-729d-4e9b-a50e-805ec86e764c,40,Female,Kolkata,Sports,39336.59,Cash,2025-06-23,5
b6cbce4f-07c7-414d-ac01-befc82bb8560,28,Female,Chennai,Beauty,17632.43,UPI,2024-06-20,9
fdac71c8-b38c-4b77-8b27-a5a383be7d0f,59,Female,Delhi,Electronics,733.0,Net Banking,2025-07-12,6
7f3486d4-3b3a-4ed1-bf9f-33acc78e5562,61,Female,Delhi,Electronics,33497.84,Cash,2025-07-07,6
450bf8d3-a522-4162-a8f4-5f42a3d78437,19,Female,Delhi,Automobile,33067.71,Cash,2024-09-16,4
53321acb-4b5b-42a0-8c41-940548167251,19,Female,Bengaluru,Books,35533.27,Debit Card,2023-11-27,8
a628f94d-8c4e-4c36-8f3a-925466f971ba,64,Male,Delhi,Groceries,36411.98,UPI,2024-05-11,7
fef0a9e9-440e-4fb6-a4d5-5e58bcb4af9f,46,Male,Bengaluru,Furniture,22300.6,Credit Card,2025-01-31,7
55893462-6231-41c7-a36b-f52fa330b42c,35,Male,Kolkata,Clothing,38258.28,Net Banking,2025-07-10,2
